osm_id,code,fclass,name,Latitude,Longitude
2085407352,5601,railway_station,Pavurchutram,08° 54' 54.33"" N,077° 22' 33.35"" E
2271289117,5601,railway_station,Tiruttangal,09° 28' 38.68"" N,077° 48' 39.08"" E
2481258995,5601,railway_station,Chennai Park Town,13° 04' 46.51"" N,080° 16' 34.66"" E
2481258999,5601,railway_station,Chennai Park,13° 04' 50.71"" N,080° 16' 23.12"" E
2481259002,5601,railway_station,Kodambakkam,13° 03' 5.98"" N,080° 13' 50.48"" E
2481259006,5601,railway_station,Mambalam,13° 02' 17.04"" N,080° 13' 39.99"" E
2481259029,5601,railway_station,Saidapet,13° 01' 23.92"" N,080° 13' 25.39"" E
2481969291,5601,railway_station,Puratchi Thalaivar Dr. M. G. Ramachandran Central,13° 04' 56.72"" N,080° 16' 33.46"" E
2486239287,5601,railway_station,Chepauk,13° 03' 42.95"" N,080° 16' 50.15"" E
2486239288,5601,railway_station,Thiruvallikeni,13° 03' 21.37"" N,080° 16' 50.18"" E
2595195129,5601,railway_station,Kanniyakumari,08° 05' 16.67"" N,077° 32' 48.27"" E
2605993507,5601,railway_station,Minjur,13° 16' 52.82"" N,080° 15' 36.88"" E
2618227905,5601,railway_station,Alapakkam,11° 37' 7.73"" N,079° 43' 39.55"" E
2618362284,5601,railway_station,Capper Quarry,11° 40' 51.68"" N,079° 44' 51.87"" E
2620614573,5601,railway_station,Kille,11° 26' 18.43"" N,079° 43' 23.73"" E
2634373103,5601,railway_station,Kattur,10° 53' 45.96"" N,078° 51' 19.93"" E
2634373112,5601,railway_station,Valadi,10° 52' 21.2"" N,078° 45' 28.84"" E
2634373115,5601,railway_station,Uttamar Kovil,10° 52' 39.1"" N,078° 42' 8.16"" E
2669085028,5601,railway_station,Tiruchchirappalli Junction,10° 47' 39.37"" N,078° 41' 7.06"" E
2671295576,5601,railway_station,Salem Junction,11° 40' 14.72"" N,078° 06' 48.75"" E
3187977875,5601,railway_station,Palavanthangal,12° 59' 26.3"" N,080° 11' 16.58"" E
3264712327,5601,railway_station,Guindy,13° 00' 31.21"" N,080° 12' 45.38"" E
3383990519,5601,railway_station,Melmaruvattur,12° 25' 43.23"" N,079° 49' 58.32"" E
3480915452,5601,railway_station,Mukundarayapuram,12° 58' 41.7"" N,079° 17' 21.12"" E
3533387280,5601,railway_station,Mohanur,11° 04' 8.15"" N,078° 08' 23.5"" E
3678939665,5601,railway_station,Avadi,13° 07' 5.79"" N,080° 06' 5.55"" E
3725756379,5601,railway_station,Palur,12° 45' 58.85"" N,079° 54' 24.86"" E
3829101957,5601,railway_station,Thiruvarur Junction,10° 45' 54.01"" N,079° 38' 1.31"" E
3850728157,5601,railway_station,Velankanni,10° 41' 12.76"" N,079° 50' 46.25"" E
3904027995,5601,railway_station,Palani,10° 27' 30.93"" N,077° 31' 13.04"" E
3951315150,5601,railway_station,Thiruthuraipundi Junction,10° 32' 18.8"" N,079° 38' 5.24"" E
4112304449,5601,railway_station,Kulithalai,10° 56' 0.79"" N,078° 25' 15.77"" E
4221752111,5601,railway_station,St. Thomas Mount,12° 59' 41.16"" N,080° 11' 57.74"" E
4261047361,5601,railway_station,Adirampattinam,10° 19' 55.0"" N,079° 23' 5.56"" E
4271573964,5601,railway_station,Mayanoor,10° 57' 18.01"" N,078° 14' 12.7"" E
4435694788,5601,railway_station,Pallavaram,12° 58' 3.27"" N,080° 09' 7.38"" E
4510326880,5601,railway_station,Sulur Road,11° 02' 58.1"" N,077° 07' 2.19"" E
4510872349,5601,railway_station,Vanjipalaiyam,11° 07' 5.41"" N,077° 15' 58.43"" E
